テストID,テスト区分,変更概要,入力条件,期待確認内容,確認方法
TC-069,回帰,既存パスへの影響なし確認,交替制モデルによる週休2日補正の選択: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-070,回帰,既存パスへの影響なし確認,代価表1枚目1行目=S_PRC: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-071,回帰,既存パスへの影響なし確認,代価表1枚目2行目=S_PRD: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-072,回帰,既存パスへの影響なし確認,代価表1枚目3行目=SaP: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-073,回帰,既存パスへの影響なし確認,代価表1枚目4行目=SbP: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-074,回帰,既存パスへの影響なし確認,動作分岐: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-075,回帰,既存パスへの影響なし確認,工種区分: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-076,回帰,既存パスへの影響なし確認,市場単価の補正方法: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-077,回帰,既存パスへの影響なし確認,市場単価週休2日補正単価区分: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-078,回帰,既存パスへの影響なし確認,控除するインターロッキングブロック(T=6cm): （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-079,回帰,既存パスへの影響なし確認,控除するインターロッキングブロック(T=8cm): （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-080,回帰,既存パスへの影響なし確認,控除用材料単価採用区分: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-081,回帰,既存パスへの影響なし確認,歩掛区分: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-082,回帰,既存パスへの影響なし確認,特殊インターロッキングブロックの寸法: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-083,回帰,既存パスへの影響なし確認,特殊インターロッキングブロック材料の単位選択: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-084,回帰,既存パスへの影響なし確認,現場閉所による週休2日補正の選択: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-085,回帰,既存パスへの影響なし確認,発注区分による週休2日補正の適用: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-086,回帰,既存パスへの影響なし確認,砂(クッション用): （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-087,回帰,既存パスへの影響なし確認,終点: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-088,回帰,既存パスへの影響なし確認,規格区分: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-089,回帰,既存パスへの影響なし確認,規格選択(再設置)(補正なし): （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-090,回帰,既存パスへの影響なし確認,規格選択(撤去)(補正なし): （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-091,回帰,既存パスへの影響なし確認,規格選択(補正なし): （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-092,回帰,既存パスへの影響なし確認,農水省旧週休2日補正選択判定: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-093,回帰,既存パスへの影響なし確認,週休2日補正の適用区分: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-094,回帰,既存パスへの影響なし確認,週休2日補正の選択: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-095,回帰,既存パスへの影響なし確認,週休2日補正の選択(閉所・交替): （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-096,回帰,既存パスへの影響なし確認,週休2日補正有無: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
